Exchange #,Timestamp(s),User Message,AI Response,Response Time(s),Feedback Types Used,Feedback Delay(s),Feedback Start(s),Feedback Duration(s),Feedback Cancelled
1,10.11,"Alex how are you what is your major","Hey there! I'm doing great, thanks for asking! I'm a Computer Science major here. What are you planning on studying?",2.97,"Gesture",0.50,10.62,N/A,False
2,41.34,"to uh learn computer science and artificial intelligence","Oh, that's awesome! We'll definitely have some classes in common then. Are you excited about getting started with the program?",1.97,"Gesture",0.50,41.85,N/A,False
3,59.86,"yes I'm very excited uh can you tell me your favorite hub","That's great to hear! My favorite hobby is probably hiking around the Bay Area. There are some incredible trails here. What kind of hobbies do you have?",1.16,"Gesture",0.50,60.36,N/A,False
4,80.48,"I love photography","Wow, photography is fantastic! Berkeley and the Bay Area offer so many amazing spots for photos. Have you brought your camera with you?",1.33,"Gesture",0.50,80.99,N/A,False
5,102.70,"I've got my camera with me","That's awesome! You'll find plenty of inspiration around campus. Are you living in the dorms this year, or off-campus?",1.19,"Gesture",0.50,103.21,N/A,False
6,117.49,"in the Dom in which Dom do you live in","Nice! I lived in Unit 3 during my first year. Which dorm are you in?",1.32,"Gesture",0.50,117.99,N/A,False
7,133.59,"living in unit 4 actually","Oh, Unit 4, that's a good one! It's super close to campus. Are you already settling in okay there?",1.21,"Gesture",0.50,134.09,N/A,False
8,150.80,"uh I'm settling okay but can you tell me where the best coffee","Glad to hear you're settling in! For the best coffee, I'd say you have to check out Caffe Strada right across from campus. What kind of coffee do you usually drink?",1.47,"Gesture",0.50,151.30,N/A,False

=== CONVERSATION SUMMARY ===
Total Exchanges,8
Average Response Time,1.58s
