Exchange #,Timestamp(s),User Message,AI Response,Response Time(s),Feedback Types Used,Feedback Delay(s),Feedback Start(s),Feedback Duration(s),Feedback Cancelled
2,15.75,"have been wonderful how are you","I'm doing great, a bit jet-lagged, but excited to be here! It's definitely a big change from San Francisco. What's new with you and your studies at Plaksha?",2.06,"VisualCueIcon",0.30,16.05,N/A,False
3,38.59,"plans","Oh, for the summer, I'll be interning at Google as a Software Engineer. Really looking forward to that experience! What are your plans looking like for the summer break?",2.77,"VisualCueIcon",0.30,38.89,N/A,False
4,66.41,"will be going to amuse Labs it's a company in Bangalore","Nice, Bangalore is a cool city! That sounds like a great opportunity. Speaking of cool places, have you seen any impressive landmarks around Mohali yet?",1.23,"VisualCueIcon",0.30,66.71,N/A,False
5,82.92,"no I haven't","Ah, well, at Berkeley, our big campus landmark is definitely The Campanile, our clock tower. It's pretty iconic. What's a popular spot or building on Plaksha's campus?",1.67,"VisualCueIcon",0.30,83.22,N/A,False
6,102.77,"it is the bridge","Oh, a bridge! That's interesting, I'll have to check it out. I'm always looking for cool spots. Speaking of grabbing something, do you have a favorite non-coffee drink you usually go for around here?",1.88,"VisualCueIcon",0.30,103.07,N/A,False
7,136.66,"the coffee shop in um in our campus what's your favorite drink","If I'm not going for coffee, my go-to is usually boba, especially from a place called Plentea near campus. They make it just right. Do you frequent that coffee shop often at Plaksha?",1.92,"VisualCueIcon",0.30,136.97,N/A,False

=== CONVERSATION SUMMARY ===
Total Exchanges,6
Average Response Time,1.92s
