Exchange #,Timestamp(s),User Message,AI Response,Response Time(s),Feedback Types Used,Feedback Delay(s),Feedback Start(s),Feedback Duration(s),Feedback Cancelled
2,17.37,"hi Alex what is your major","Hey! I'm a Computer Science major. What about you, have you decided on a major yet or are you still exploring?",1.33,"Gesture",0.50,17.87,N/A,False
3,35.56,"of artificial intelligence","AI, that's super interesting! Are you planning on getting involved with any research or clubs in that area?",1.21,"Gesture",0.50,36.06,N/A,False
4,59.74,"still involved with a lot of AI projects um I will live in dorm unit 3 where will you live","Nice, that sounds like you're really diving in! I actually live in Blackwell Hall, it's pretty new. What do you like most about Unit 3 so far?",2.34,"Gesture",0.50,60.24,N/A,False
5,91.82,"lot of good friends in unit 3 and there's good food in unit 3","That's awesome, having a good community and food makes a huge difference. Are you planning on exploring much of the campus or Berkeley outside of your studies?",2.29,"Gesture",0.50,92.32,N/A,False
6,152.98,"what is your favorite hobby","Oh, definitely photography! I love taking photos around campus, especially when the light is just right. Do you have any hobbies you're hoping to continue or pick up here?",1.59,"Gesture",0.50,153.48,N/A,False
7,180.73,"I like to drink a lot of coffee and I'm a coffee Enthusiast can you tell me where I can get the best coffee","If you're a coffee enthusiast, you absolutely have to check out Caffe Strada. It's a classic Berkeley spot and my go-to for the best coffee. What kind of coffee do you usually prefer?",1.26,"Gesture",0.50,181.23,N/A,False

=== CONVERSATION SUMMARY ===
Total Exchanges,6
Average Response Time,1.67s
