Timestamp(s),Event Type,Details,Exchange Count,Info Discovered
0.00,CONVERSATION_START,"Feedback: Gesture",0,0
2.60,AI_RESPONSE_FULL,"Received full JSON response",1,0
2.60,AVATAR_TALKING,"Avatar started speaking",1,0
3.92,AVATAR_TALKING,"Avatar started speaking",1,0
15.84,AVATAR_IDLE,"Avatar finished speaking",1,0
24.44,FEEDBACK_GESTURE,"Thinking animation triggered",1,0
27.61,USER_MESSAGE,"laksha bro can you tell me your major I'm a computer science and artificial intelligence major I want to know your major",1,0
29.18,AI_RESPONSE_FULL,"Received full JSON response",2,0
29.18,FEEDBACK_STOPPED,"Duration: 4.74s",2,0
29.95,AVATAR_TALKING,"Avatar started speaking",2,0
29.95,AVATAR_TALKING,"Avatar started speaking",2,0
41.44,AVATAR_IDLE,"Avatar finished speaking",2,0
41.44,AVATAR_IDLE,"Avatar finished speaking",2,0
78.31,FEEDBACK_GESTURE,"Thinking animation triggered",2,0
84.12,USER_MESSAGE,"I am working on a robotics project",2,0
86.02,AI_RESPONSE_FULL,"Received full JSON response",3,0
86.02,FEEDBACK_STOPPED,"Duration: 7.71s",3,0
87.80,AVATAR_TALKING,"Avatar started speaking",3,0
87.80,AVATAR_TALKING,"Avatar started speaking",3,0
87.80,AVATAR_TALKING,"Avatar started speaking",3,0
99.44,AVATAR_IDLE,"Avatar finished speaking",3,0
99.44,AVATAR_IDLE,"Avatar finished speaking",3,0
99.44,AVATAR_IDLE,"Avatar finished speaking",3,0
123.34,FEEDBACK_GESTURE,"Thinking animation triggered",3,0
127.30,USER_MESSAGE,"it is a personal thing but yeah I it's also for a competition in Singapore",3,0
130.08,AI_RESPONSE_FULL,"Received full JSON response",4,0
130.08,FEEDBACK_STOPPED,"Duration: 6.74s",4,0
130.96,AVATAR_TALKING,"Avatar started speaking",4,0
130.96,AVATAR_TALKING,"Avatar started speaking",4,0
130.96,AVATAR_TALKING,"Avatar started speaking",4,0
130.96,AVATAR_TALKING,"Avatar started speaking",4,0
140.86,AVATAR_IDLE,"Avatar finished speaking",4,0
140.86,AVATAR_IDLE,"Avatar finished speaking",4,0
140.86,AVATAR_IDLE,"Avatar finished speaking",4,0
140.86,AVATAR_IDLE,"Avatar finished speaking",4,0
154.65,FEEDBACK_GESTURE,"Thinking animation triggered",4,0
158.94,USER_MESSAGE,"I'm building a underwater autonomous robot auv",4,0
160.24,AI_RESPONSE_FULL,"Received full JSON response",5,0
160.24,FEEDBACK_STOPPED,"Duration: 5.59s",5,0
160.94,AVATAR_TALKING,"Avatar started speaking",5,0
160.94,AVATAR_TALKING,"Avatar started speaking",5,0
160.94,AVATAR_TALKING,"Avatar started speaking",5,0
160.94,AVATAR_TALKING,"Avatar started speaking",5,0
160.94,AVATAR_TALKING,"Avatar started speaking",5,0
174.54,AVATAR_IDLE,"Avatar finished speaking",5,0
174.54,AVATAR_IDLE,"Avatar finished speaking",5,0
174.54,AVATAR_IDLE,"Avatar finished speaking",5,0
174.54,AVATAR_IDLE,"Avatar finished speaking",5,0
174.54,AVATAR_IDLE,"Avatar finished speaking",5,0
180.74,FEEDBACK_GESTURE,"Thinking animation triggered",5,0
182.08,USER_MESSAGE,"really Alex can you tell me your favorite drink",5,0
183.80,AI_RESPONSE_FULL,"Received full JSON response",6,0
183.80,FEEDBACK_STOPPED,"Duration: 3.07s",6,0
184.62,AVATAR_TALKING,"Avatar started speaking",6,0
184.62,AVATAR_TALKING,"Avatar started speaking",6,0
184.62,AVATAR_TALKING,"Avatar started speaking",6,0
184.62,AVATAR_TALKING,"Avatar started speaking",6,0
184.62,AVATAR_TALKING,"Avatar started speaking",6,0
184.62,AVATAR_TALKING,"Avatar started speaking",6,0
200.06,AVATAR_IDLE,"Avatar finished speaking",6,0
200.06,AVATAR_IDLE,"Avatar finished speaking",6,0
200.06,AVATAR_IDLE,"Avatar finished speaking",6,0
200.06,AVATAR_IDLE,"Avatar finished speaking",6,0
200.06,AVATAR_IDLE,"Avatar finished speaking",6,0
200.06,AVATAR_IDLE,"Avatar finished speaking",6,0
207.32,FEEDBACK_GESTURE,"Thinking animation triggered",6,0
209.97,USER_MESSAGE,"Google before and I also liked it um Alex what is your favorite food I like to eat burgers and fries a lot",6,0
211.41,AI_RESPONSE_FULL,"Received full JSON response",7,0
211.41,FEEDBACK_STOPPED,"Duration: 4.08s",7,0
212.20,AVATAR_TALKING,"Avatar started speaking",7,0
212.20,AVATAR_TALKING,"Avatar started speaking",7,0
212.20,AVATAR_TALKING,"Avatar started speaking",7,0
212.20,AVATAR_TALKING,"Avatar started speaking",7,0
212.20,AVATAR_TALKING,"Avatar started speaking",7,0
212.20,AVATAR_TALKING,"Avatar started speaking",7,0
212.20,AVATAR_TALKING,"Avatar started speaking",7,0
226.37,AVATAR_IDLE,"Avatar finished speaking",7,0
226.37,AVATAR_IDLE,"Avatar finished speaking",7,0
226.37,AVATAR_IDLE,"Avatar finished speaking",7,0
226.37,AVATAR_IDLE,"Avatar finished speaking",7,0
226.37,AVATAR_IDLE,"Avatar finished speaking",7,0
226.37,AVATAR_IDLE,"Avatar finished speaking",7,0
226.37,AVATAR_IDLE,"Avatar finished speaking",7,0
233.31,FEEDBACK_GESTURE,"Thinking animation triggered",7,0
235.75,USER_MESSAGE,"Burger be is amazing can you tell me about the famous landmark in your Berkeley calling",7,0
237.26,AI_RESPONSE_FULL,"Received full JSON response",8,0
237.26,FEEDBACK_STOPPED,"Duration: 3.95s",8,0
238.50,AVATAR_TALKING,"Avatar started speaking",8,0
238.50,AVATAR_TALKING,"Avatar started speaking",8,0
238.50,AVATAR_TALKING,"Avatar started speaking",8,0
238.50,AVATAR_TALKING,"Avatar started speaking",8,0
238.50,AVATAR_TALKING,"Avatar started speaking",8,0
238.50,AVATAR_TALKING,"Avatar started speaking",8,0
238.50,AVATAR_TALKING,"Avatar started speaking",8,0
238.50,AVATAR_TALKING,"Avatar started speaking",8,0
255.07,AVATAR_IDLE,"Avatar finished speaking",8,0
255.07,AVATAR_IDLE,"Avatar finished speaking",8,0
255.07,AVATAR_IDLE,"Avatar finished speaking",8,0
255.07,AVATAR_IDLE,"Avatar finished speaking",8,0
255.07,AVATAR_IDLE,"Avatar finished speaking",8,0
255.07,AVATAR_IDLE,"Avatar finished speaking",8,0
255.07,AVATAR_IDLE,"Avatar finished speaking",8,0
255.07,AVATAR_IDLE,"Avatar finished speaking",8,0
267.86,FEEDBACK_GESTURE,"Thinking animation triggered",8,0
272.05,USER_MESSAGE,"uh yes I have visited the",8,0
273.76,AI_RESPONSE_FULL,"Received full JSON response",9,0
273.76,FEEDBACK_STOPPED,"Duration: 5.90s",9,0
274.58,AVATAR_TALKING,"Avatar started speaking",9,0
274.58,AVATAR_TALKING,"Avatar started speaking",9,0
274.58,AVATAR_TALKING,"Avatar started speaking",9,0
274.58,AVATAR_TALKING,"Avatar started speaking",9,0
274.58,AVATAR_TALKING,"Avatar started speaking",9,0
274.58,AVATAR_TALKING,"Avatar started speaking",9,0
274.58,AVATAR_TALKING,"Avatar started speaking",9,0
274.58,AVATAR_TALKING,"Avatar started speaking",9,0
274.58,AVATAR_TALKING,"Avatar started speaking",9,0
284.37,AVATAR_IDLE,"Avatar finished speaking",9,0
284.37,AVATAR_IDLE,"Avatar finished speaking",9,0
284.37,AVATAR_IDLE,"Avatar finished speaking",9,0
284.37,AVATAR_IDLE,"Avatar finished speaking",9,0
284.37,AVATAR_IDLE,"Avatar finished speaking",9,0
284.37,AVATAR_IDLE,"Avatar finished speaking",9,0
284.37,AVATAR_IDLE,"Avatar finished speaking",9,0
284.37,AVATAR_IDLE,"Avatar finished speaking",9,0
284.37,AVATAR_IDLE,"Avatar finished speaking",9,0
0.00,CONVERSATION_END,"Reason: Objectives Met / AI Requested End | Duration: 4.76m",9,0

=== SUMMARY ===
Duration (minutes),0.00
Total Exchanges,9
Info Discovered,0/4
Feedback Enabled,True
Feedback Types,Gesture
Feedback Delay,0.3s
